age_band,0,1,2,3,4,5+,missing
<=22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29-34,0.0,100.0,0.0,0.0,0.0,0.0,0.0
35-39,0.0,16.158718069912346,0.0,70.08733440773403,0.0,13.753947522353624,0.0
40-49,0.0,17.415712341400297,0.0,0.0,0.0,82.58428765859969,0.0
50-59,0.0,0.0,0.0,0.0,0.0,100.0,0.0
60+,0.0,59.47292566830627,0.0,0.0,0.0,40.52707433169373,0.0
