cohort_year,under30_share_yes,under30_weighted_count_yes,total_weighted_count_yes,under30_share_no,under30_weighted_count_no,total_weighted_count_no,gap_yes_minus_no,upper_share,lower_share
2015,0.0286103827829327,3.2237783707549443,112.678617242341,0.0,0.0,34.52022353406025,0.0286103827829327,0.0286103827829327,0.0
2016,0.0,0.0,140.2229102520364,0.0,0.0,53.829781069299855,0.0,0.0,0.0
2017,0.0245375956825497,4.62399539041046,188.44533304046885,0.0,0.0,43.85405564582518,0.0245375956825497,0.0245375956825497,0.0
2018,0.0586165811197797,16.435343209251478,280.3872708929706,0.0619892036158503,5.004217982260046,80.72725072048658,-0.0033726224960706,0.0619892036158503,0.0586165811197797
2022,0.094669600840183,44.38855779647882,468.878683363349,0.0671342384644908,5.70417728853451,84.9667385674093,0.027535362375692193,0.094669600840183,0.0671342384644908
2023,0.1173895871197369,45.39688364470594,386.7198510409725,0.1504291373308331,15.18589704217309,100.95050275250414,-0.0330395502110962,0.1504291373308331,0.1173895871197369
2024,0.1288345742421433,47.709105009200805,370.3129015626815,0.0629461529033472,5.845391448402827,92.8633630299588,0.06588842133879612,0.1288345742421433,0.0629461529033472
