Timestamp,Camp Size,Average Per Person Camp Contribution,Contribution Range,Camp Total Annual Budget,How are camp contributions structured?,Do you collect contributions through an entity?,NOTAFLOF for low/no income campers?,Camp Amenities,Do supplemental contributions support other camp amenities (in addition to core contribution),Do you offer financial incentives (e.g. discounts or refunds) to folks who come to early build and/or late strike,Commentary,Camp Name,ContributionRangeLow,ContributionRangeHigh,Tidbits
2024/04/30 11:28:42 AM AST,24,350,350,,Flat Fee,Not incorporated,No,"Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",No,N/A,"We log all purchases, track all the money, and refund any unused funds back to the campers. Everyone pays in to the finance head in early August.  Excess is paid back to everyone in late September.",Cult of the Magic Lady,,,Return unused funds to campers
2024/04/30 12:06:20 PM AST,18,225,,4000,Flat Fee,Not incorporated,No,"Water;Private Camper Lounge / Shade Structure;Shower;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",No,N/A,,Caffeination Station,,,
2024/04/30 12:11:33 PM AST,18,300,,3000,Flat Fee,Not incorporated,"Yes, informally","Water;Private Camper Lounge / Shade Structure;Shower;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",No,N/A,,Playa glass,,,
2024/04/30 12:25:15 PM AST,30,475,475-575,14000,Tiered based on time (closer to burn = more expensive),Not incorporated,"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Power;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",Yes - bike rentals,Maybe,"Department leads and builders are provided a small discount on their dues as an insufficient but well-intentioned ""thank you.""",Raised by Wolves,475,575,Dept leads get small dues discount
2024/04/30 12:48:56 PM AST,25,,$0 ,,,,,Private Camper Lounge / Shade Structure,No,N/A,,,,,
2024/04/30 12:58:41 PM AST,4,300,,,"Tiered based on financial capability;No required contribution, donations welcome",Not incorporated,"Yes, informally",Shower;Power;Equipment Transportation,Yes - bike rentals,N/A,,,,,
2024/04/30 1:18:40 PM AST,30,250,250,7500,Flat Fee,Not incorporated,No,Private Camper Lounge / Shade Structure;Equipment Transportation;Ice;Booze,Yes - food,N/A,"We do group meals. Your meal team is responsible for 1 meal and then you can eat any of the other meals prepared. But I’ve always considered that separate to camp dues. 

We buy all the champagne and vodka we give out during our happy hours and anyone in camp can drink as much as they want during happy hours but not they can’t drink camp booze when not happy hour ",Champagne lounge,,,
2024/04/30 1:35:09 PM AST,85,,0,1500,"No required contribution, donations welcome",Not incorporated,No,Private Camper Lounge / Shade Structure;Equipment Transportation;Booze,No,N/A,No Dues. We all bring what we need. Radical Self Reliance. We're doing it right. ,Stag Camp,,,RSR
2024/04/30 1:37:49 PM AST,35,300,,,Flat Fee,Tax exempt organization - 501(c)(3),No,Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Booze,No,N/A,,,,,
2024/04/30 1:56:28 PM AST,45,350,NA,16000,Flat Fee,Not incorporated,"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Power;Booze;Greywater Management (evap ponds, totes, pump-outs, etc.)","Yes - capital improvements/infra (e.g. new shade structure, etc)",N/A,,,,,
2024/04/30 2:22:16 PM AST,50,300,,,Flat Fee,Not incorporated,"Yes, informally","Water;Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",No,N/A,The Temple Builbers camp.  We come in about 2 1/2 weeks prior to gate open.,Temple Camp,,,
2024/04/30 2:31:54 PM AST,28,400,$400-600,12000,Tiered based on time (closer to burn = more expensive),Not incorporated,No,"Meals (at least 1 meal/day);Shower;Greywater Management (evap ponds, totes, pump-outs, etc.)",Yes - food,N/A,"Our camp dues go up $50 every month, to encourage early commitment and cover last minute additions to accommodate.  Anything extra gets invested in new/improved camp equipment, any shortfall the TCO covers out of pocket.  Everybody shows up for build as early as they can, and everyone stays for strike.  In addition to the daily burrito that comes out of the camp budget, everybody helps gift one dinner during the week that is not paid for by camp.",Astral Headwash,400,600,TCO/campers as benefactor
2024/04/30 2:38:45 PM AST,80,400,400,20000,Flat Fee,Not incorporated,,"Private Camper Lounge / Shade Structure;Shower;Power;Booze;Equipment Transportation;Greywater Management (evap ponds, totes, pump-outs, etc.)",No,N/A,,,,,
2024/04/30 3:15:06 PM AST,18,300,,5000,Flat Fee,Not incorporated,"Yes, informally","Meals (at least 1 meal/day);Private Camper Lounge / Shade Structure;Shower;Greywater Management (evap ponds, totes, pump-outs, etc.);MOOP Management",No,N/A,We basically take the expenses for the year and divide by number of campers. It is all very transparent. Some camp mates pay more if they are able to which offsets costs for the others,Yellowstone burners,,,TCO/campers as benefactor
2024/04/30 3:19:31 PM AST,90,100,100-200,6800,Flat Fee;Tiered based on financial capability,Not incorporated,"Yes, informally",Nothing,Yes - art projects;Yes - high power hookups (e.g. for RVs),N/A,"We are a no frills Radical Self Reliance esplanade live music/DJ/bar/chillout camp. We share extra resources w each other as needed. People who bring a trailer or RV pay an extra $100 fee for the increased footprint, as space allows. Dues collected over annual costs go towards extra circus tent repairs, musical instrument upgrades & replacement, ball pit & dome repairs, art grants, etc.",Freestyle Palace (renamed this year to Off The Dome),100,200,RSR
