segment,token,pct_a,pct_b,delta,n_a,n_b
<30_vs_30+,free,0.004147812971342383,0.0015210116900612751,0.002626801281281108,328,1469
<30_vs_30+,think,0.005279034690799397,0.0028247359958280824,0.0024542986949713146,328,1469
<30_vs_30+,yet,0.005090497737556561,0.002737821042110295,0.0023526766954462663,328,1469
<30_vs_30+,dancing,0.003205128205128205,0.0010864369214723393,0.002118691283655866,328,1469
<30_vs_30+,others,0.001885369532428356,0.0039111729173004215,-0.0020258033848720653,328,1469
<30_vs_30+,love,0.00942684766214178,0.007518143496588588,0.0019087041655531916,328,1469
<30_vs_30+,solar,0.0015082956259426848,0.0033027682412759113,-0.0017944726153332265,328,1469
<30_vs_30+,then,0.0001885369532428356,0.0018686715049324237,-0.0016801345516895881,328,1469
<30_vs_30+,joy,0.0015082956259426848,0.0030420233801225502,-0.0015337277541798654,328,1469
<30_vs_30+,like,0.006975867269984917,0.00547564208422059,0.0015002251857643275,328,1469
<30_vs_30+,could,0.0024509803921568627,0.0009995219677545522,0.0014514584244023105,328,1469
<30_vs_30+,things,0.0016968325791855204,0.0030420233801225502,-0.0013451908009370298,328,1469
<30_vs_30+,much,0.003393665158371041,0.0047368649776194,-0.001343199819248359,328,1469
<30_vs_30+,water,0.004336349924585219,0.0029985659032636565,0.0013377840213215624,328,1469
<30_vs_30+,first,0.003770739064856712,0.00243361870409804,0.0013371203607586719,328,1469
<30_vs_30+,i'm,0.0058446455505279035,0.004519577593324931,0.0013250679572029724,328,1469
<30_vs_30+,will,0.004147812971342383,0.0028247359958280824,0.0013230769755143007,328,1469
<30_vs_30+,better,0.0011312217194570137,0.00243361870409804,-0.0013023969846410264,328,1469
<30_vs_30+,open,0.0026395173453996985,0.0039111729173004215,-0.001271655571900723,328,1469
<30_vs_30+,lot,0.0026395173453996985,0.0013906392594845943,0.0012488780859151042,328,1469
<30_vs_30+,had,0.000942684766214178,0.0021728738429446785,-0.0012301890767305004,328,1469
<30_vs_30+,find,0.001885369532428356,0.0006953196297422972,0.0011900499026860588,328,1469
<30_vs_30+,self,0.003770739064856712,0.004910694885054974,-0.001139955820198262,328,1469
<30_vs_30+,can,0.005090497737556561,0.003954630394159315,0.001135867343397246,328,1469
<30_vs_30+,few,0.0001885369532428356,0.0012602668289079136,-0.001071729875665078,328,1469
<30_vs_30+,both,0.0016968325791855204,0.0026943635652514016,-0.0009975309860658812,328,1469
<30_vs_30+,beer,0.0015082956259426848,0.0005214897223067229,0.000986805903635962,328,1469
<30_vs_30+,mostly,0.0001885369532428356,0.0011733518751901265,-0.000984814921947291,328,1469
