cohort_year,age_band,campPlaced,weighted_count,weighted_return_rate,unweighted_n
1986,60+,no,1.676176628621828,0.0,2
1986,60+,yes,0.208835873146977,1.0,1
1987,60+,yes,0.197415371962664,0.0,1
1988,60+,no,1.184803176893635,0.0,2
1990,50-59,yes,0.115056846885864,1.0,1
1991,60+,yes,0.907191620062443,0.18918936268907824,2
1993,40-49,yes,0.225415610348777,0.0,1
1993,60+,yes,0.162245106985562,0.0,1
1994,50-59,yes,1.748733872197767,0.3320114550784867,3
1994,60+,no,0.360460415328988,1.0,1
1994,60+,yes,1.0972480434928198,0.8096730503321756,4
1995,40-49,no,1.429029446392506,0.17951017414954457,2
1995,50-59,no,0.288693808490429,0.0,1
1995,50-59,yes,1.824570468848134,0.8417743718757633,3
1995,60+,no,0.185225205601994,1.0,1
1995,60+,yes,1.4992687222326202,0.4565863824923807,4
1996,35-39,yes,3.89548185647654,0.0,1
1996,40-49,yes,1.84493934593168,0.0,1
1996,50-59,no,0.237261958777239,1.0,1
1996,50-59,yes,2.892398750726304,0.8579194126946984,8
1996,60+,no,0.175095888985718,1.0,1
1996,60+,yes,1.6572746579119289,0.8692469955555113,7
1997,40-49,no,1.73041740685226,1.0,1
1997,40-49,yes,2.6262412293155624,0.46223233031118055,3
1997,50-59,no,2.18287131123562,0.4182729626261676,3
1997,50-59,yes,3.94179078302473,0.9267607479996947,12
1997,60+,yes,1.5988411228679262,0.5807089469377549,7
1998,40-49,yes,0.8429004844173891,0.7171007339057086,3
1998,50-59,no,0.461727354679705,1.0,1
1998,50-59,yes,7.492495636790331,0.8842542600591047,14
1998,60+,no,0.585303615823995,0.2991539506196568,2
1998,60+,yes,1.5227616157128752,0.8628571465211176,7
1999,40-49,no,0.208871721826868,1.0,1
1999,40-49,yes,0.634803124533464,1.0,3
1999,50-59,no,2.413748691365057,0.8234848786367902,6
1999,50-59,yes,11.168165955231931,0.7653957451108021,18
1999,60+,no,0.383931762132695,1.0,2
1999,60+,yes,2.3012457513052262,0.9254182199623227,7
2000,40-49,no,0.476911856864404,1.0,2
2000,40-49,yes,1.958007517615889,1.0,7
2000,50-59,no,1.481860137431718,0.8845645336785428,3
2000,50-59,yes,11.417361792348846,0.442303337608619,21
2000,60+,no,0.171631004436486,1.0,1
2000,60+,yes,4.5093960007388105,0.5798860908545647,15
2001,23-28,no,0.40749065016472,1.0,1
2001,40-49,no,2.255503082863481,1.0,4
2001,40-49,yes,4.304323001859995,0.5882396320064007,11
2001,50-59,yes,2.9224550599606247,1.0,9
2001,60+,no,0.329127126505056,1.0,2
2001,60+,yes,2.6133419328558567,0.904624868097325,9
2002,40-49,no,0.195974139375231,1.0,1
2002,40-49,yes,7.668521689202217,0.22958834945615664,10
2002,50-59,no,0.510168115787655,1.0,2
2002,50-59,yes,8.725974213412407,0.6197357584772103,19
2002,60+,no,0.7727497193199659,1.0,4
2002,60+,yes,3.9224353665031213,0.4493667987319761,12
2003,40-49,no,0.11085085916679,1.0,1
2003,40-49,yes,3.311322799563556,0.4929000692155813,10
2003,50-59,no,0.663325101973831,1.0,2
2003,50-59,yes,4.233104310915509,0.7926880284680832,14
2003,60+,no,1.056691587732531,0.5847769203822428,4
2003,60+,yes,3.486092975728251,0.8454661017472112,16
2003,<=22,yes,1.22966991654087,0.0,1
2004,29-34,yes,0.351888866287299,0.0,1
2004,35-39,yes,1.00752459843213,0.0,1
2004,40-49,no,1.8334485587325609,0.8218955287055131,5
2004,40-49,yes,5.143600322265859,0.7526104169088311,14
2004,50-59,no,0.310570064136553,1.0,1
2004,50-59,yes,8.219078057731638,0.7857596519637462,14
2004,60+,no,0.394061078748971,1.0,2
2004,60+,yes,3.1953013169786377,0.7467054318448322,12
2005,40-49,no,3.5180950164961082,0.0,2
2005,40-49,yes,3.374726256584683,0.6175146667440193,9
2005,50-59,yes,3.6260623041142876,0.7997218874410047,11
2005,60+,no,1.900743232535945,0.5208374290666651,6
2005,60+,yes,4.7041685555658805,0.8091871704719432,18
2006,35-39,yes,3.363203497014115,1.0,5
2006,40-49,no,1.427152801215298,1.0,4
2006,40-49,yes,14.664490026228346,0.4898729003009722,27
2006,50-59,no,0.9148677366946101,1.0,3
2006,50-59,yes,10.450869970005124,0.8773684902677393,18
2006,60+,no,1.786949864290374,0.358279086701939,4
2006,60+,yes,4.555755663744288,0.9209085997620051,22
2007,23-28,no,0.438368934957254,1.0,1
2007,29-34,yes,1.33812073246804,0.0,1
2007,35-39,no,2.75583123629076,0.0,1
2007,40-49,no,1.4405021120029,1.0,5
2007,40-49,yes,8.45008780420185,0.5081960318002592,20
2007,50-59,no,1.3062526048946,0.0,1
2007,50-59,yes,9.114242396944853,0.735130199300107,19
2007,60+,no,3.1486929446439964,0.1112181416632323,4
2007,60+,yes,8.230991762146052,0.744559994495335,28
2008,29-34,yes,0.0558592692804577,1.0,1
2008,35-39,no,1.0768301994059941,1.0,3
2008,35-39,yes,5.919743130074079,0.33089219343813403,12
2008,40-49,no,2.153065430416066,0.2871656319426141,3
2008,40-49,yes,12.96401307720684,0.8367050391226635,30
2008,50-59,no,1.427898537635678,0.5956382041423619,4
2008,50-59,yes,11.218713326086945,0.5460793413859966,19
2008,60+,no,1.092211807990012,0.8304127420643234,5
2008,60+,yes,2.138647677629403,0.8184251435100223,10
2009,29-34,no,0.265932985285215,1.0,1
2009,29-34,yes,0.759147869578863,0.0,1
2009,35-39,no,0.711734400270301,1.0,2
2009,35-39,yes,3.555397168500159,0.8317837968933607,10
2009,40-49,no,1.3030141659740542,0.8495993792755641,4
2009,40-49,yes,15.729719462248656,0.6439259283519749,35
2009,50-59,no,2.67124719807271,1.0,2
2009,50-59,yes,10.113605531359797,0.48221188961815553,16
2009,60+,no,2.63263722960525,0.6802213308901205,7
2009,60+,yes,6.204826201983677,0.6024262032620609,19
2009,<=22,yes,0.422823106057187,0.0,1
