age_band,yes__1,yes__2,yes__3,yes__4,yes__5+,yes__missing,no__1,no__2,no__3,no__4,no__5+,dontKnow__1,dontKnow__2,dontKnow__3,dontKnow__4,dontKnow__5+,missing__1,missing__3,missing__5+
<=22,8.698726275343407,4.10518707129312,3.5484657414544,1.98348750943776,4.2868823270547285,0.0,4.724820708474291,2.391548725359463,0.0,0.0,0.0,10.632370860917073,0.105662405568126,0.0,0.0,0.0,0.0,0.0,0.0
23-28,106.16969854913532,51.76396430804836,47.97411079137005,43.1536763605317,17.542358996165472,0.0,43.352529475765735,13.744320610281887,16.39778779137968,6.597634917830176,8.211908689600815,34.63175450134826,3.01670254072664,0.0,1.34398051635404,0.0,0.0,0.0,0.0
29-34,211.88921327939812,131.91645402575472,134.666199322376,114.37084727799204,141.01840597574972,0.0,93.79335284236146,38.2780489941662,31.682474111191308,31.274045814453892,20.788710880224876,25.880864671874807,9.797194255161209,4.263389229476094,1.78890765119304,1.5390837784112632,1.73347291738302,0.0,0.0
35-39,204.27193508995973,140.0825330052067,134.5973015977974,93.33266964711603,250.85370487414804,0.0,69.97513025844081,37.52653351174329,28.370842226363383,25.080680936916618,60.421463011891646,32.262350071103334,8.681707572145868,1.6758363012807012,1.30853657881829,5.304871129286079,0.347007171539737,1.50511987203199,0.295364917352246
40-49,210.27735054990546,136.42732462446114,136.31969244457846,134.78242708642725,353.63965495470046,0.898062624947913,79.03106318965179,52.655589703089824,44.00080981654101,26.83230402060118,83.24641491815781,28.691872572980905,7.607907596586439,0.523217402566169,2.31064922762959,8.604754543904109,0.793957678924032,0.0,3.764900801051266
50-59,106.04772790245573,90.42373132493458,73.56288327307493,75.14776075477471,268.19762440992525,0.954771138299382,49.260776433082064,27.089613469722643,15.971860609455822,13.46179389114525,48.469449430749485,11.891440877363252,1.20039242576038,0.0,1.78880334048664,0.982310342906249,0.0,0.0,0.951235680050271
60+,56.30616003716064,28.37131131599978,32.44359941861726,32.866781527392384,131.9620135542277,0.0,23.896285272013632,19.964028940269966,9.957789667710824,15.688517567742888,37.78735397082486,11.278474076417032,0.0,0.0,0.0,5.213516830775807,0.893406027988482,0.0,0.608800258231917
